Year,Age,Disabilities ,Type of Support,Units,Value,,,,,,,,,,,
2015,,,SSI,Total Enrollment,84892,,,,,,,,,,,
2015,Under 18,,SSI,Total Enrollment,12140,,,,,,,,,,,
2015,18-64,,SSI,Total Enrollment,57973,,,,,,,,,,,
2015,65 and older,,SSI,Total Enrollment,11779,,,,,,,,,,,
2015,,Aged,SSI,Total Enrollment,517,,,,,,,,,,,
2015,,Blind and disabled,SSI,Total Enrollment,79375,,,,,,,,,,,
2016,,,SSI,Total Enrollment,84737,,,,,,,,,,,
2016,Under 18,,SSI,Total Enrollment,11644,,,,,,,,,,,
2016,18-64,,SSI,Total Enrollment,5749,,,,,,,,,,,
2016,65 and older,,SSI,Total Enrollment,15544,,,,,,,,,,,
2016,,Aged,SSI,Total Enrollment,5717,,,,,,,,,,,
2016,,Blind and disabled,SSI,Total Enrollment,79020,,,,,,,,,,,
2016,,,Medicaid,Total Enrollment,486819,,,,,,,,,,,
2017,,,SSI,Total Enrollment,84810,,,,,,,,,,,
2017,Under 18,,SSI,Total Enrollment,11396,,,,,,,,,,,
2017,18-64,,SSI,Total Enrollment,57000,,,,,,,,,,,
2017,65 and older,,SSI,Total Enrollment,16414,,,,,,,,,,,
2017,,Aged,SSI,Total Enrollment,6002,,,,,,,,,,,
2017,,Blind and disabled,SSI,Total Enrollment,78808,,,,,,2018,,,SSI,Total Enrollment,83826
2017,,,Medicaid,Total Enrollment,,,,,,,2018,Under 18,,SSI,Total Enrollment,11043
,,,,,,,,,,,2018,18-64,,SSI,Total Enrollment,55732
,,,,,,,,,,,2018,65 and older,,SSI,Total Enrollment,17051
,,,,,,,,,,,2018,,Aged,SSI,Total Enrollment,6086
,,,,,,,,,,,2018,,Blind and disabled,SSI,Total Enrollment,77740
,,,,,,,,,,,2019,,,SSI,Total Enrollment,82982
,,,,,,,,,,,2019,Under 18,,SSI,Total Enrollment,10793
,,,,,,,,,,,2019,18-64,,SSI,Total Enrollment,54478
,,,,,,,,,,,2019,65 and older,,SSI,Total Enrollment,17711
,,,,,,,,,,,2019,,Aged,SSI,Total Enrollment,6135
,,,,,,,,,,,2019,,Blind and disabled,SSI,Total Enrollment,76847
,,,,,,,,,,,2019,,,Umemployment Insurance,Percent of Recipients ,25.2
,,,,,,,,,,,2020,,,SSI,Total Enrollment,81280
,,,,,,,,,,,2020,Under 18,,SSI,Total Enrollment,10643
,,,,,,,,,,,2020,18-64,,SSI,Total Enrollment,52502
,,,,,,,,,,,2020,65 and older,,SSI,Total Enrollment,18135
,,,,,,,,,,,2020,,Aged,SSI,Total Enrollment,6040
,,,,,,,,,,,2020,,Blind and disabled,SSI,Total Enrollment,75240
,,,,,,,,,,,2020,,,Umemployment Insurance,Percent of Recipients ,17
,,,,,,,,,,,2021,,,SSI,Total Enrollment,78476
,,,,,,,,,,,2021,Under 18,,SSI,Total Enrollment,9947
,,,,,,,,,,,2021,18-64,,SSI,Total Enrollment,4989
,,,,,,,,,,,2021,65 and older,,SSI,Total Enrollment,18720
,,,,,,,,,,,2021,,Aged,SSI,Total Enrollment,6022
,,,,,,,,,,,2021,,Blind and disabled,SSI,Total Enrollment,72454
,,,,,,,,,,,2021,,,Umemployment Insurance,Percent of Recipients ,34.5
,,,,,,,,,,,2022,,,SSI,Total Enrollment,76152
,,,,,,,,,,,2022,Under 18,,SSI,Total Enrollment,953
,,,,,,,,,,,2022,18-64,,SSI,Total Enrollment,47160
,,,,,,,,,,,2022,65 and older,,SSI,Total Enrollment,19439
,,,,,,,,,,,2022,,Aged,SSI,Total Enrollment,6266
,,,,,,,,,,,2022,,Blind and disabled,SSI,Total Enrollment,69886
,,,,,,,,,,,2022,,,Umemployment Insurance,Percent of Recipients ,27.8
,,,,,,,,,,,2023,,,SSI,Total Enrollment,75006
,,,,,,,,,,,2023,Under 18,,SSI,Total Enrollment,9822
,,,,,,,,,,,2023,18-64,,SSI,Total Enrollment,44840
,,,,,,,,,,,2023,65 and older,,SSI,Total Enrollment,20344
,,,,,,,,,,,2023,,Aged,SSI,Total Enrollment,6534
,,,,,,,,,,,2023,,Blind and disabled,SSI,Total Enrollment,68472
,,,,,,,,,,,2023,,,Umemployment Insurance,Percent of Recipients ,33.6
,,,,,,,,,,,2024,,,Umemployment Insurance,Percent of Recipients ,31.8
,,,,,,,,,,,2025,,,Umemployment Insurance,Percent of Recipients ,37.5
