Year,Unit,Value
2015,,"23,488"
2015,Docotor of Medicine,"18,727"
2015,Doctor of Osteopathy,"3,384"
2015,Certified Nurse Midwife,"1,250"
2015,Other Midwife ,72
2015,Other or Unknown,55
2016,,"23,149"
2016,Doctor of Medicine,"18,563"
2016,Doctor of Osteopathy,"3,269"
2016,Certified Nurse Midwife,"1,237"
2016,Other Midwife ,46
2016,Other or Unknown,34
2017,,"23,279"
2017,Doctor of Medicine,"18,301"
2017,Doctor of Osteopathy,"3,380"
2017,Certified Nurse Midwife,"1,501"
2017,Other Midwife ,55
2017,Other or Unknown,42
2018,,"22,910"
2018,Doctor of Medicine,"18,030"
2018,Doctor of Osteopathy,"3,495"
2018,Certified Nurse Midwife,"1,325"
2018,Other Midwife ,31
2018,Other or Unknown,29
2019,,"22,559"
2019,Docotor of Medicine,"17,825"
2019,Doctor of Osteopathy,"3,426"
2019,Certified Nurse Midwife,"1,196"
2019,Other Midwife ,28
2019,Other or Unknown,84
2020,,"21,800"
2020,Doctor of Medicine,"16,956"
2020,Doctor of Osteopathy,"3,520"
2020,Certified Nurse Midwife,"1,250"
2020,Other Midwife ,19
2020,Other or Unknown,55
2021,,"21,470"
2021,Docotor of Medicine,"16,155"
2021,Doctor of Osteopathy,"3,635"
2021,Certified Nurse Midwife,"1,498"
2021,Other Midwife ,129
2021,Other or Unknown,53
2022,,"20,958"
2022,Docotor of Medicine,"15,882"
2022,Doctor of Osteopathy,"3,305"
2022,Certified Nurse Midwife,"1,634"
2022,Other Midwife ,105
2022,Other or Unknown,32
