Year,Use of Birth Control,Value
2011 to 2015,No Method,2
2011 to 2015,Pregnant or Seeking Pregnancy,8
2011 to 2015,Male Condoms,9
2011 to 2015,Other Hormonal Methods,3
2011 to 2015,Vaginal Ring,4
2011 to 2015,Contraceptive Patch ,2
2011 to 2015,Oral Contraceptive ,40
2011 to 2015,3-Month Hormonal Injection ,23
2011 to 2015,IUD,5
2011 to 2015,Permanent,1
2017,Long Acting Reversable Contraceptive,12.6
2017,Male Condoms,15.1
2017,Pregnant or Seeking Pregnancy,7.6
2017,Fertility Awareness and Absteinence,1.6
2017,Female Steralization ,0.9
2017,3-Month Hormonal Injection ,20.7
2017,Oral Contraceptive ,36.2
2017,Vaginal Ring,3.4
2017,Other/ Uknown Female Method,4.6
2018,Long Acting Reversable Contraceptive,14.2
2018,Male Condoms,16.5
2018,Pregnant or Seeking Pregnancy,6.9
2018,Fertility Awareness and Absteinence,1.8
2018,Female Steralization ,0.7
2018,3-Month Hormonal Injection ,18.3
2018,Oral Contraceptive ,34
2018,Vaginal Ring,3.2
2018,Other/ Uknown Female Method,4.3
2019,Long Acting Reversable Contraceptive,14.3
2019,Male Condoms,14.9
2019,Pregnant or Seeking Pregnancy,6.4
2019,Fertility Awareness and Absteinence,1.8
2019,Female Steralization ,0.8
2019,3-Month Hormonal Injection ,19
2019,Oral Contraceptive ,31.9
2019,Vaginal Ring,3
2019,Other/ Uknown Female Method,7.8
2020,Long Acting Reversable Contraceptive,10.4
2020,Male Condoms,8.5
2020,Pregnant or Seeking Pregnancy,6.7
2020,Fertility Awareness and Absteinence,2.1
2020,Female Steralization ,1.4
2020,3-Month Hormonal Injection ,29.6
2020,Oral Contraceptive ,31.8
2020,Vaginal Ring,2.7
2020,Other/ Uknown Female Method,6.8
2021,Long Acting Reversable Contraceptive,11.6
2021,Male Condoms,11.3
2021,Pregnant or Seeking Pregnancy,7.6
2021,Fertility Awareness and Absteinence,2.9
2021,Female Steralization ,2.1
2021,3-Month Hormonal Injection ,26
2021,Oral Contraceptive ,28.7
2021,Vaginal Ring,2.5
2021,Other/ Uknown Female Method,7.2
2022,Long Acting Reversable Contraceptive,18
2022,Male Condoms,14.7
2022,Pregnant or Seeking Pregnancy,4.1
2022,Fertility Awareness and Absteinence,2.6
2022,Female Steralization ,1.6
2022,3-Month Hormonal Injection ,21.7
2022,Oral Contraceptive ,24
2022,Vaginal Ring,2.2
2022,Other/ Uknown Female Method,11.1
