Year,Gender,Race,Level of School,Value
2014,,,High School,2672
2014,Male,,High School,1111
2014,Female,,High School,1561
2014,,American Indian or Alaska Native,High School,5
2014,,Asian,High School,42
2014,,African American,High School,2289
2014,,Hispanic/Latino,High School,281
2014,,Native Hawaiian or Other Pacific Islander,High School,5
2014,,White,High School,49
2014,,,Middle School,4116
2014,Male,,Middle School,1981
2014,Female,,Middle School,2135
2014,,American Indian or Alaska Native,Middle School,16
2014,,Asian,Middle School,76
2014,,African American,Middle School,3610
2014,,Hispanic/Latino,Middle School,353
2014,,Native Hawaiian or Other Pacific Islander,Middle School,
2014,,Two or More Races,Middle School,4
2014,,White,Middle School,57
2014,,,Elementary School,"3,360"
2014,Male,,Elementary School,1758
2014,Female,,Elementary School,1602
2014,,American Indian or Alaska Native,Elementary School,7
2014,,Asian,Elementary School,54
2014,,African American,Elementary School,2767
2014,,Hispanic/Latino,Elementary School,432
2014,,White,Elementary School,92
2014,,Two or More Races,Elementary School,8
2015,,,High School,2627
2015,Male,,High School,1128
2015,Female,,High School,1499
2015,,American Indian or Alaska Native,High School,1
2015,,Asian,High School,60
2015,,African American,High School,2236
2015,,Hispanic/Latino,High School,293
2015,,Native Hawaiian or Other Pacific Islander,High School,1
2015,,White,High School,36
2015,,,Middle School,3993
2015,Male,,Middle School,1991
2015,Female,,Middle School,2002
2015,,American Indian or Alaska Native,Middle School,14
2015,,Asian,Middle School,79
2015,,African American,Middle School,3410
2015,,Hispanic/Latino,Middle School,424
2015,,Native Hawaiian or Other Pacific Islander,Middle School,3
2015,,Two or More Races,Middle School,3
2015,,White,Middle School,60
2015,,,Elementary School,3188
2015,Male,,Elementary School,1647
2015,Female,,Elementary School,1541
2015,,American Indian or Alaska Native,Elementary School,4
2015,,Asian,Elementary School,64
2015,,African American,Elementary School,2585
2015,,Hispanic/Latino,Elementary School,452
2015,,Native Hawaiian or Other Pacific Islander,Elementary School,2
2015,,Two or More Races,Elementary School,11
2015,,White,Elementary School,70
2016,,,High School,2662
2016,Male,,High School,1146
2016,Female,,High School,1516
2016,,American Indian or Alaska Native,High School,2
2016,,Asian,High School,71
2016,,African American,High School,2227
2016,,Hispanic/Latino,High School,312
2016,,Native Hawaiian or Other Pacific Islander,High School,1
2016,,White,High School,49
2016,,,Middle School,3782
2016,Male,,Middle School,1890
2016,Female,,Middle School,1892
2016,,American Indian or Alaska Native,Middle School,8
2016,,Asian,Middle School,68
2016,,African American,Middle School,3211
2016,,Hispanic/Latino,Middle School,420
2016,,Native Hawaiian or Other Pacific Islander,Middle School,8
2016,,Two or More Races,Middle School,4
2016,,White,Middle School,63
2016,,,Elementary School,3252
2016,Male,,Elementary School,1730
2016,Female,,Elementary School,1522
2016,,American Indian or Alaska Native,Elementary School,9
2016,,Asian,Elementary School,49
2016,,African American,Elementary School,2634
2016,,Hispanic/Latino,Elementary School,483
2016,,Native Hawaiian or Other Pacific Islander,Elementary School,4
2016,,Two or More Races,Elementary School,10
2016,,White,Elementary School,63
2017,Male,,High School,1467
2017,Female,,High School,1772
2017,,American Indian or Alaska Native,High School,12
2017,,Asian,High School,81
2017,,African American,High School,2753
2017,,Hispanic/Latino,High School,334
2017,,Native Hawaiian or Other Pacific Islander,High School,5
2017,,White,High School,49
2017,,Two or More Races,High School,5
2017,,,High School,3239
2017,,,Middle School,4296
2017,Male,,Middle School,2178
2017,Female,,Middle School,2188
2017,,American Indian or Alaska Native,Middle School,8
2017,,Asian,Middle School,83
2017,,African American,Middle School,3653
2017,,Hispanic/Latino,Middle School,442
2017,,Native Hawaiian or Other Pacific Islander,Middle School,6
2017,,Two or More Races,Middle School,3
2017,,White,Middle School,101
2017,,,Elementary School,3602
2017,Male,,Elementary School,1884
2017,Female,,Elementary School,1718
2017,,American Indian or Alaska Native,Elementary School,11
2017,,Asian,Elementary School,63
2017,,African American,Elementary School,2889
2017,,Hispanic/Latino,Elementary School,540
2017,,Native Hawaiian or Other Pacific Islander,Elementary School,3
2017,,Two or More Races,Elementary School,8
2017,,White,Elementary School,88
2018,,,High School,2900
2018,Male,,High School,1280
2018,Female,,High School,1620
