Year,Grade Level,Gender,Poverty Level,Test,Units,Value
2014,,,,M-STEP,English Language Arts,35.5
2014,3rd,,,M-STEP,English Language Arts,34.0
2014,4th,,,M-STEP,English Language Arts,27.1
2014,5th,,,M-STEP,English Language Arts,30.6
2014,6th,,,M-STEP,English Language Arts,37.8
2014,7th,,,M-STEP,English Language Arts,40.1
2014,8th,,,M-STEP,English Language Arts,50.1
2014,,,,M-STEP,Math,26.4
2014,3rd,,,M-STEP,Math,37.1
2014,4th,,,M-STEP,Math,36.1
2014,5th,,,M-STEP,Math,20.9
2014,6th,,,M-STEP,Math,24.7
2014,7th,,,M-STEP,Math,27.0
2014,8th,,,M-STEP,Math,24.7
2014,11th,,,M-STEP,English Language Arts,50.6
2014,11th,Female,,M-STEP,English Language Arts,56.3
2014,11th,Male,,M-STEP,English Language Arts,43.3
2014,11th,,Economically Disadvantaged,M-STEP,English Language Arts,44.7
2014,11th,,Not Economically Disadvantaged,M-STEP,English Language Arts,60.1
2014,11th,,,M-STEP,Math,32.5
2014,11th,Female,,M-STEP,Math,34.3
2014,11th,Male,,M-STEP,Math,30.3
2014,11th,,Economically Disadvantaged,M-STEP,Math,26.4
2014,11th,,Not Economically Disadvantaged,M-STEP,Math,42.6
2015,,,,M-STEP,English Language Arts,32.2
2015,3rd,,,M-STEP,English Language Arts,27.5
2015,4th,,,M-STEP,English Language Arts,26.5
2015,5th,,,M-STEP,English Language Arts,34.0
2015,6th,,,M-STEP,English Language Arts,28.4
2015,7th,,,M-STEP,English Language Arts,35.6
2015,8th,,,M-STEP,English Language Arts,44.0
2015,,,,M-STEP,Math,26.4
2015,3rd,,,M-STEP,Math,31.6
2015,4th,,,M-STEP,Math,37.0
2015,5th,,,M-STEP,Math,16.8
2015,6th,,,M-STEP,Math,21.4
2015,7th,,,M-STEP,Math,23.9
2015,8th,,,M-STEP,Math,25.5
2016,,,,M-STEP,English Language Arts,32.3
2016,3rd,,,M-STEP,English Language Arts,28.5
2016,4th,,,M-STEP,English Language Arts,24.3
2016,5th,,,M-STEP,English Language Arts,35.1
2016,6th,,,M-STEP,English Language Arts,31.8
2016,7th,,,M-STEP,English Language Arts,33.0
2016,8th,,,M-STEP,English Language Arts,43.4
2016,,,,M-STEP,Math,26.6
2016,3rd,,,M-STEP,Math,32.8
2016,4th,,,M-STEP,Math,34.5
2016,5th,,,M-STEP,Math,19.2
2016,6th,,,M-STEP,Math,24.3
2016,7th,,,M-STEP,Math,23.3
2016,8th,,,M-STEP,Math,24.4
2017,,,,M-STEP,English Language Arts,30.8
2017,3rd,,,M-STEP,English Language Arts,28.3
2017,4th,,,M-STEP,English Language Arts,25.7
2017,5th,,,M-STEP,English Language Arts,28.5
2017,6th,,,M-STEP,English Language Arts,31.8
2017,7th,,,M-STEP,English Language Arts,35.2
2017,8th,,,M-STEP,English Language Arts,37.3
2017,,,,M-STEP,Math,26.2
2017,3rd,,,M-STEP,Math,31.6
2017,4th,,,M-STEP,Math,33.9
2017,5th,,,M-STEP,Math,18.0
2017,6th,,,M-STEP,Math,24.0
2017,7th,,,M-STEP,Math,24.8
2017,8th,,,M-STEP,Math,23.7
2018,,,,M-STEP,English Language Arts,32.7
2018,3rd,,,M-STEP,English Language Arts,27.1
2018,4th,,,M-STEP,English Language Arts,31.5
2018,5th,,,M-STEP,English Language Arts,29.5
