Year,Gender,Race,Level of School,Value
2014,,,High School,2672.0
2014,Male,,High School,1111.0
2014,Female,,High School,1561.0
2014,,American Indian or Alaska Native,High School,5.0
2014,,Asian,High School,42.0
2014,,African American,High School,2289.0
2014,,Hispanic/Latino,High School,281.0
2014,,Native Hawaiian or Other Pacific Islander,High School,5.0
2014,,White,High School,49.0
2014,,,Middle School,4116.0
2014,Male,,Middle School,1981.0
2014,Female,,Middle School,2135.0
2014,,American Indian or Alaska Native,Middle School,16.0
2014,,Asian,Middle School,76.0
2014,,African American,Middle School,3610.0
2014,,Hispanic/Latino,Middle School,353.0
2014,,Native Hawaiian or Other Pacific Islander,Middle School,
2014,,Two or More Races,Middle School,4.0
2014,,White,Middle School,57.0
2014,,,Elementary School,3360.0
2014,Male,,Elementary School,1758.0
2014,Female,,Elementary School,1602.0
2014,,American Indian or Alaska Native,Elementary School,7.0
2014,,Asian,Elementary School,54.0
2014,,African American,Elementary School,2767.0
2014,,Hispanic/Latino,Elementary School,432.0
2014,,White,Elementary School,92.0
2014,,Two or More Races,Elementary School,8.0
2015,,,High School,2627.0
2015,Male,,High School,1128.0
2015,Female,,High School,1499.0
2015,,American Indian or Alaska Native,High School,1.0
2015,,Asian,High School,60.0
2015,,African American,High School,2236.0
2015,,Hispanic/Latino,High School,293.0
2015,,Native Hawaiian or Other Pacific Islander,High School,1.0
2015,,White,High School,36.0
2015,,,Middle School,3993.0
2015,Male,,Middle School,1991.0
2015,Female,,Middle School,2002.0
2015,,American Indian or Alaska Native,Middle School,14.0
2015,,Asian,Middle School,79.0
2015,,African American,Middle School,3410.0
2015,,Hispanic/Latino,Middle School,424.0
2015,,Native Hawaiian or Other Pacific Islander,Middle School,3.0
2015,,Two or More Races,Middle School,3.0
2015,,White,Middle School,60.0
2015,,,Elementary School,3188.0
2015,Male,,Elementary School,1647.0
2015,Female,,Elementary School,1541.0
2015,,American Indian or Alaska Native,Elementary School,4.0
2015,,Asian,Elementary School,64.0
2015,,African American,Elementary School,2585.0
2015,,Hispanic/Latino,Elementary School,452.0
2015,,Native Hawaiian or Other Pacific Islander,Elementary School,2.0
2015,,Two or More Races,Elementary School,11.0
2015,,White,Elementary School,70.0
2016,,,High School,2662.0
2016,Male,,High School,1146.0
2016,Female,,High School,1516.0
2016,,American Indian or Alaska Native,High School,2.0
2016,,Asian,High School,71.0
2016,,African American,High School,2227.0
2016,,Hispanic/Latino,High School,312.0
