Year,Age Range,Value
2015,15-17,94.5
2015,18-19,60.0
2015,20-24,30.7
2015,25-34,15.0
2015,35 and up,4.2
2016,15-17,95.2
2016,18-19,60.1
2016,20-24,25.6
2016,25-34,11.8
2016,35 and up,3.8
2017,15-17,94.2
2017,18-19,62.4
2017,20-24,25.8
2017,25-34,11.1
2017,35 and up,2.6
2018,15-17,95.6
2018,18-19,59.0
2018,20-24,31.5
2018,25-34,9.4
2018,35 and up,2.6
2019,15-17,97.6
2019,18-19,59.3
2019,20-24,29.2
2019,25-34,9.0
2019,35 and up,2.8
2021,15-17,90.8
2021,18-19,59.0
2021,20-24,28.7
2021,25-34,7.5
2021,35 and up,2.3
2022,15-17,94.9
2022,18-19,56.6
2022,20-24,27.4
2022,25-34,10.5
2022,35 and up,1.8
2023,15-17,97.2
2023,18-19,45.3
2023,20-24,25.1
2023,25-34,9.5
2023,35 and up,2.6
