Year,Race/ Ethnicity,Units,Value
2015,,"Ratio per 100,000 Live Births",68.9
2015-2019,Black,"Death per 100,000 live Births",29.8
2015-2019,White,"Death per 100,000 live Births",10.7
2016,,"Ratio per 100,000 Live Births",82.0
2016-2020,Black,"Death per 100,000 live Births",127.3
2016-2020,White,"Death per 100,000 live Births",72.2
2016-2020,American Indian/ Alaska Native,"Death per 100,000 live Births",142.0
2016-2020,All Other Races,"Death per 100,000 live Births",31.8
2017,,"Ratio per 100,000 Live Births",69.1
2018,,"Ratio per 100,000 Live Births",74.5
2019,,"Ratio per 100,000 Live Births",76.9
2020,,"Ratio per 100,000 Live Births",102.7
