Year,Sex,Age,Value
2015,,Under 5,98.6
2015,Male,Under 5,97.8
2015,Female,Under 5,95.5
2016,,Under 5,97.3
2016,Male,Under 5,97.3
2016,Female,Under 5,97.3
2017,,Under 5,97.8
2017,Male,Under 5,97.0
2017,Female,Under 5,98.6
2018,,Under 5,99.7
2018,Male,Under 5,99.4
2018,Female,Under 5,100.0
2019,,Under 5,100.0
2019,Male,Under 5,100.0
2019,Female,Under 5,100.0
2021,,Under 5,99.2
2021,Male,Under 5,99.5
2021,Female,Under 5,98.4
2022,,Under 5,98.9
2022,Male,Under 5,98.1
2022,Female,Under 5,99.8
2023,,Under 5,98.4
2023,Male,Under 5,99.1
2023,Female,Under 5,97.8
